store_id,facility_name,brand_name,address
dc8a6d93-8665-37d2-8fb3-09849b8be7d2,Deacon's Corner,The French Toaster - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
b85b0feb-3c8f-3209-bd34-66aff28b3046,Cucini Xpress,The Panini Press - CA,"75 Consumers Dr, Whitby, ON L1N 9S2, Canada"
abc6a378-f94d-4bdf-ab04-eaacd3a3e558,Pizza Fiamma - Hamilton,Nonna's Table - CA,"54 Queen St S, Hamilton, ON L8P 3R5, Canada"
93f8ceb3-86c3-3231-86a5-288a674de264,The Wolf & Hound,Smash Shack Burger Bar - CA,"3617 W Broadway, Vancouver, BC V6R 2B8, Canada"
edae7105-bfbe-44dd-bc35-f57aa2db72cb,Our Spot - Danforth Ave,Golden Griddle Pancakes - CA,"1779 Danforth Ave, Toronto, ON M4C 1J2, Canada"
7477cdc2-1057-337b-89af-c05813b85428,Friends Pizza & Pasta - Calgary,Nonna's Table - CA,"2066 18 Ave NE, Calgary, AB T2E 8N5, Canada"
97d21a89-be5f-3f63-ad9f-b4330ca30c76,Boss Pizza - Edmonton,Nonna's Table - CA,"10404 64 Ave NW, Edmonton, AB T6H 1S7, Canada"
708d71be-4eb3-3dbc-891c-1184c87a4ee5,Good Eats Cafe - Bell St North,The Patty Shack - CA,"207 Bell St N, Ottawa, ON K1R 0B9, Canada"
a6d5935e-944a-3ad3-8e5d-5086c728b291,Pizza Fiamma - Hamilton,Calzone Zone - CA,"54 Queen St S, Hamilton, ON L8P 3R5, Canada"
8c3d989a-ab2e-30b3-b81e-8c46a4ed0335,The Food Emporium (170 Doughton Road),Nonna's Table - CA,"170 Doughton Rd, Concord, ON L4K 4H7, Canada"
aae86e9d-6a33-3d16-9895-a5d8a69d2cfc,Deacon's Corner,Golden Griddle Pancakes - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
6af6e736-55e4-3f51-b3ee-2bda1117d1a3,Mila Mexican Restaurant and Bar-,The Grilled Quesadilla Company - CA,"40 Winges Rd, Woodbridge, ON L4L 6B2, Canada"
633a6da8-729f-3925-bebf-c7fc87cdc3df,Pizza Fiamma - Hamilton,Hot Wing House - CA,"54 Queen St S, Hamilton, ON L8P 3R5, Canada"
48333953-e12e-3fdd-b259-798678da7156,Deacon's Corner,Bedhead Breakfast Burritos & Bowls - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
bf2653e0-f2ad-393c-9c4a-398127653694,Deacon's Corner,Eggy's Bagel Breakfast Sandwich - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
9c8e7786-3647-4a21-be67-dd12e03775ab,Our Spot - Danforth Ave,Eggy's Bagel Breakfast Sandwich - CA,"1779 Danforth Ave, Toronto, ON M4C 1J2, Canada"
c11bf3ab-7a4b-3505-9c6f-6e2f1eac7c6e,Cucini Xpress,The Grilled Quesadilla Company - CA,"75 Consumers Dr, Whitby, ON L1N 9S2, Canada"
